ID,Horizon,Clay,Sand,Silt
t2-p1-1,Ap,27.45333333,24.7,47.84666667
t2-p1-2,AB,30.28,24.75,44.97
t2-p1-3,2Cr,9.226666667,73.25,17.52333333
t2-p2-1,Ap,26.56,5.6,67.84
t2-p2-2,2Bt,36.37333333,2.9,60.72666667
t2-p2-3,2BC,22.52,61.3,16.18
t2-p2-4,2Cr,27.32,48.45,24.23
t2-p3-1,Ap,23.13333333,22.05,54.81666667
t2-p3-2,2Bt,30.61333333,12.3,57.08666667
t2-p3-3,2Cr,21.2,25.15,53.65
t2-p4-1,Ap,23.16,4.1,72.74
t2-p4-2,AB,26.04,7.5,66.46
t2-p4-3,Bt1,32.06666667,1.4,66.53333333
t2-p4-4,Bt2,26.61,2.15,71.24
t2-p5-1,Ap,25.81333333,4.8,69.38666667
t2-p5-2,2Bt,34.42666667,4.25,61.32333333
t2-p5-3,2Cr,28.36,31.2,40.44
t2-p6-1,Ap,28.96,4.3,66.74
t2-p6-2,2Bt1,42.2,3.35,54.45
t2-p6-3,2Bt2,44.81333333,11.25,43.93666667
t2-p6-4,2Cr,18.64,45.15,36.21
t2-p7-1,Ap,20.56,20.45,58.99
t2-p7-2,Bw,17.84,36.95,45.21
t2-p7-3,2Cr,17.48,44.7,37.82
t2-p8-1,Ap,28.72,5.5,65.78
t2-p8-2,2Bt,33.16,5.75,61.09
t2-p8-3,2R,28.96,31.2,39.84
t2-p9-1,Ap,23.92,2.15,73.93
t2-p9-2,Bt1,28.96,0.65,70.39
t2-p9-3,2Bt2,32.64,3.65,63.71
t2-p10-1,Ap,20.16,2,77.84
t2-p10-2,Bt1,22.8,1.3,75.9
t2-p10-3,Bt2,32.48,2.5,65.02
t2-p10-4,2Bt3,40.36,4.65,54.99
t2-p11-1,Ap,14.76,1.95,83.29
t2-p11-2,Bt1,20.44,4.55,75.01
t2-p11-3,Bt2,23.92,2.75,73.33
t2-p12-1,Ap,20.8,2.15,77.05
t2-p12-2,A,20.56,2.65,76.79
t2-p12-3,Ab,23.84,3.25,72.91
t2-p13-1,Ap,13.44,1.85,84.71
t2-p13-2,A1,16.32,7.15,76.53
t2-p13-3,A2,23.4,3.7,72.9
t2-p13-4,Bt,27.32,8.85,63.83
t3-p1-1,Ap,27.36,4.95,67.69
t3-p1-2,2Bt,45.36,2.7,51.94
t3-p1-3,2Cr,16.16,64.25,19.59
t3-p2-1,Ap,24.32,3.4,72.28
t3-p2-2,2Bt,38.08,2.25,59.67
t3-p3-1,Ap,26.68,17.15,56.17
t3-p3-2,2Cr,23.6,28.7,47.7
t3-p4-1,Ap,32.48,17.75,49.77
t3-p4-2,2Cr,19.96,51.15,28.89
t3-p5-1,Ap,24.44,5.9,69.66
t3-p5-2,2Cr,31,21.1,47.9
t3-p6-1,Ap,22.4,2.1,75.5
t3-p6-2,Bt1,30.28,1.75,67.97
t3-p6-3,2Bt2,50.72,2.2,47.08
t3-p6-4,2Cr,37.04,26.75,36.21
t3-p7-1,Ap,19.72,6.7,73.58
t3-p7-2,Bt1,29.96,1.45,68.59
t3-p7-3,2Bt2,49.36,3.7,46.94
t3-p7-4,2Bt3,43.28,4.15,52.57
t3-p8-2,2Bt1,44.64,1.7,53.66
t3-p8-3,2Bt2,49.2,7.1,43.7
t3-p9-1,Ap,10.6,2.15,87.25
t3-p9-2,Bt1,23.2,2.45,74.35
t3-p9-3,2Bt2,39.96,6.8,53.24
t3-p10-1,Ap,15.96,1.3,82.74
t3-p10-2,Bt1,25.92,5.5,68.58
t3-p10-3,Bt2,29.56,3.85,66.59
t3-p10-4,Bt3,27.36,3.85,68.79
t3-p10-5,2Cr,17.48,14.25,68.27
t4-p1-1,Ap,21.8,33.1,45.1
t4-p1-2,2BC,14.8,66,19.2
t4-p2-1,Ap,26.04,26.35,47.61
t4-p2-2,Bt,25.76,26.25,47.99
t4-p2-3,2BC,22,38.4,39.6
t4-p3-1,Ap,28.44,4.25,67.31
t4-p3-2,Bt1,31.48,5,63.52
t4-p4-1,Ap,34.2,5.35,60.45
t4-p4-2,Bt1,37.04,5,57.96
t4-p4-3,2Bt2,54.52,0.5,44.98
t4-p4-4,2Bt3,54.92,3.1,41.98
t4-p5-1,Ap,34.76,6.75,58.49
t4-p5-2,Bt1,36.2,6.4,57.4
t4-p5-3,2Bt2,50.36,7.25,42.39
t4-p6-1,Ap,26.76,2.75,70.49
t4-p6-2,Bt1,34.88,1.7,63.42
t4-p6-3,2Bt2,46.52,3.2,50.28
t4-p6-4,2BC,27.72,25.25,47.03
t4-p6-5,2Cr,32.04,20.45,47.51
t4-p7-1,Ap,23.56,2.5,73.94
t4-p7-2,Bt1,26.68,1.65,71.67
t4-p7-3,2Bt2,41.32,2.1,56.58
t4-p7-4,2Cr,36.4,19.4,44.2
t4-p8-1,Ap,19.52,1.5,78.98
t4-p8-2,A,22.16,1.7,76.14
t4-p8-3,Bt1,36.08,1.2,62.72
t4-p8-4,2Bt2,37.2,2.15,60.65
t4-p8-5,2BC,23.6,39.85,36.55
t4-p8-6,2Cr,13.84,56,30.16
t4-p9-1,Ap,31.36,5.5,63.14
t4-p9-2,Bw,33.24,9.95,56.81
t4-p9-3,2Cr,29.16,22.15,48.69
t4-p10-1,Ap,32.4,3.95,63.65
t4-p11-1,Ap,31.76,3.55,64.69
t4-p11-2,2Bt,32.04,4.3,63.66
t4-p11-3,2Cr,28.24,7,64.76
t4-p12-1,Ap,25.48,11.1,63.42
t4-p12-2,2Bt,31.16,4.7,64.14
t4-p13-1,Ap,27.92,4.75,67.33
t4-p13-2,2Bt,30.8,3.5,65.7
t4-p14-1,Ap,26.84,4.8,68.36
t4-p14-2,A,27.52,4.5,67.98
t4-p14-3,2Bt2,34.16,3.05,62.79
t4-p15-1,Ap,24.88,3.1,72.02
t4-p15-2,2Bt,31.84,2.95,65.21
t4-p16-1,Ap,19.6,9.15,71.25
t4-p16-2,A/Bt1,22.56,2.05,75.39
t4-p16-3,2Bt2,29.84,5.7,64.46
t4-p17-1,Ap,18.32,2.35,79.33
t4-p17-2,A1,15.48,3.55,80.97
t4-p17-3,A2,18.64,3.35,78.01
t4-p17-4,Ab,25.28,6.9,67.82
t4-p17-5,C,17.16,7.55,75.29
t5-p1-1,Ap,24.84,12.4,62.76
t5-p1-2,Bt1,29.64,12.55,57.81
t5-p1-3,Bt2,30.64,38.4,30.96
t5-p1-4,2Bt3,44.52,30.9,24.58
t5-p2-1,Ap,25.12,9.7,65.18
t5-p2-2,Bt1,29.44,42.2,28.36
t5-p2-3,2Cr,23.12,51.35,25.53
t5-p3-1,Ap,25.88,20,54.12
t5-p3-2,Bt,33.64,27.5,38.86
t5-p3-3,BC,26.76,27.5,45.74
t5-p4-1,Ap,26.84,15.05,58.11
t5-p4-2,Bt1,33.4,22.6,44
t5-p4-3,2Bt2,39.36,24.5,36.14
t5-p5-1,Ap,20.4,9.65,69.95
t5-p5-2,A,24.76,5.35,69.89
t5-p5-3,Bt1,30.6,4.55,64.85
t5-p5-4,Bt2,28.24,19.95,51.81
t5-p6-1,Ap,21.88,19.35,58.77
t5-p6-2,Bt1,32.12,19.9,47.98
t5-p6-3,2Bt2,36.8,17.15,46.05
t5-p7-1,Ap,23.68,22.4,53.92
t5-p7-2,AB,23.84,21.55,54.61
t5-p7-3,Bt2,27.64,34.8,37.56
t5-p7-4,2Bt3,30.72,44.7,24.58
t5-p8-1,Ap,22.6,34.65,42.75
t5-p8-2,Bt,23.96,43.35,32.69
t5-p9-1,Ap,20.72,26.9,52.38
t5-p9-2,Bt,24.36,25.65,49.99
t5-p10-1,Ap,23.2,19.3,57.5
t5-p10-2,AB,24.32,15.65,60.03
t5-p10-3,Bw,26.6,26,47.4
t5-p11-1,Ap,24.32,9.95,65.73
t5-p11-2,Bt1,28.12,4.5,67.38
t5-p11-3,Bt2,27.44,15.75,56.81
t5-p11-4,2Bt3,47.12,35.1,17.78
t5-p12-1,Ap,26.8,11.6,61.6
t5-p12-2,AB,25.68,4.9,69.42
t5-p12-3,Bt1,28.56,4.5,66.94
t5-p12-4,Bt2,30.88,7.5,61.62
t5-p12-5,Bt3,35.52,3.3,61.18
t5-p12-6,BC,22.96,29.7,47.34
t5-p12-7,C,29.52,9.5,60.98
t5-p13-1,Ap,24.24,6.9,68.86
t5-p13-2,AB,25.84,6,68.16
t5-p13-3,Bt2,30.56,3.7,65.74
t5-p13-4,Bt3,34,2.8,63.2
t5-p13-5,BC,27.68,23,49.32
t5-p13-6,C,32,6.2,61.8
t6-p1-1,Ap,27.52,1.8,70.68
t6-p1-2,2Cr,32.8,9.5,57.7
t6-p2-1,Ap,13.04,2.4,84.56
t6-p2-2,Bt1,27.44,1,71.56
t6-p2-3,Btg,26.64,1.8,71.56
t6-p3-1,Ap,28.96,8.3,62.74
t6-p3-2,Bt1,34.64,2.9,62.46
t6-p3-3,2Bt2,48.26666667,6.766666667,44.96666667
t6-p3-4,2Bw,26.82666667,50.33333333,22.84
t6-p3-5,2B/2Cr,12.56,76.5,10.94
t6-p3-6,2Cr,4.32,84.2,11.48
t6-p4-1,Ap1,23.76,23.8,52.44
t6-p4-2,Ap2,26.48,22.1,51.42
t6-p5-1,Ap,23.92,2.6,73.48
t6-p5-2,Bt1,36.576,2.4,61.024
t6-p5-3,Bt2,32.85333333,5.9,61.24666667
t6-p5-4,2Bt3,43.22666667,26.03333333,30.74
t6-p5-5,2Bt4,44,24.4,31.6
t6-p5-6,2Cr,19.6,61.9,18.5
t6-p6-1,Ap,16.08,2.4,81.52
t6-p6-2,Bt1,26.32,1.6,72.08
t6-p6-3,Bt2,27.12,1.4,71.48
t6-p6-4,BC,24.56,8.6,66.84
t6-p7-1,Ap,19.04,2.7,78.26
t6-p7-2,Bt1,25.44,2.8,71.76
t6-p7-3,2Bt2,54.48,2.6,42.92
t6-p7-4,2BC,37.28,24.5,38.22
t6-p8-1,A1,12,2.1,85.9
t6-p8-2,A2,12.48,2.4,85.12
t6-p8-3,E,12.64,2.1,85.26
t6-p8-4,Bt1,19.44,1.8,78.76
t6-p8-5,Bt2,25.76,14.1,60.14
t6-p8-6,Bt3,28.77333333,5.5,65.72666667
t6-p9-1,A,9.52,3.7,86.78
t6-p9-2,E,11.84,2.6,85.56
t6-p9-3,EB,14,2.2,83.8
t6-p9-4,Bt1,25.76,4.1,70.14
t6-p9-5,2Bt2,35.09333333,9.233333333,55.67333333
t7-p1-1,Ap,21.52,2.5,75.98
t7-p1-2,2Bt,51.68,2.4,45.92
t7-p2-1,Ap,20.8,4.1,75.1
t7-p2-2,2Bt,57.36,1.9,40.74
t7-p2-3,2Cr,35.12,35.8,29.08
t7-p3-1,Ap,29.04,4.9,66.06
t7-p3-2,2Bt,54.48,5.5,40.02
t7-p4-1,Ap,27.84,2.6,69.56
t7-p4-2,AB,37.2,2.6,60.2
t7-p4-3,2Bt1,43.84,2.6,53.56
t7-p4-4,2Bt2,45.28,3.6,51.12
t7-p5-1,Ap,18.72,4.3,76.98
t7-p5-2,Bt1,26.08,1.8,72.12
t7-p5-3,2Bt2,43.52,1,55.48
t7-p5-4,2BC,31.12,5.5,63.38
t7-p6-1,Ap,21.44,2.2,76.36
t7-p6-2,Bt1,35.12,3,61.88
t7-p6-3,2Bt2,47.44,2.3,50.26
t7-p6-4,2BC,32.24,9.2,58.56
t7-p7-1,A,12.88,2.2,84.92
t7-p7-2,Bt1,24,3.5,72.5
t7-p7-3,2Bt2,42.08,3.5,54.42
t7-p7-4,2Cr,30.24,18.3,51.46
t7-p8-1,A,6.96,5.4,87.64
t7-p8-2,Bt1,12.64,7,80.36
t7-p8-3,Bt2,16.88,9.1,74.02
t7-p8-4,BC,13.12,15.7,71.18
t8-p1-1,Ap,25.12,2.2,72.68
t8-p1-2,2Bt,51.04,6,42.96
t8-p2-1,Ap,31.6,3.5,64.9
t8-p2-2,2Bt,47.84,2.1,50.06
t8-p3-1,Ap,19.76,2.3,77.94
t8-p3-2,2Bt1,42.96,1.9,55.14
t8-p3-3,2Bt2/2Cr,38.32,24.6,37.08
t8-p4-1,Ap,24.96,1.8,73.24
t8-p4-2,2Bt2,33.36,2.5,64.14
t8-p5-1,Ap,19.12,1.8,79.08
t8-p5-2,Bt1,27.04,2.4,70.56
t8-p5-3,Bt2,27.76,4.6,67.64
t8-p5-4,2Bt3,37.6,5.2,57.2
t9-p1-1,A,21.6,3.6,74.8
t9-p1-2,E,26.8,2.9,70.3
t9-p1-3,Bt1,31.28,2.6,66.12
t9-p1-4,Bt2,15.84,21.9,62.26
t9-p1-5,2Bt3,28,2.8,69.2
t9-p2-1,A,21.52,4.8,73.68
t9-p2-2,E,28.88,3.4,67.72
t9-p2-3,Bt1,31.44,3.6,64.96
t9-p2-4,2Bt2,44.96,3.7,51.34
t9-p3-1,A,20.48,3.3,76.22
t9-p3-2,E,24.48,1.9,73.62
t9-p3-3,Bt1,30.16,1.3,68.54
t9-p3-4,Bt2,29.04,3.6,67.36
t9-p3-5,2Bt3,31.92,6,62.08
t9-p3-6,2Cr,20.88,35.2,43.92
t9-p4-1,A,23.52,3.6,76.4
t9-p4-2,2Bt,23.92,17.4,58.68
t9-p5-1,A,15.6,5.4,79
t9-p5-2,E,23.28,5.4,71.32
t9-p5-3,Bt1,26.8,4.7,68.5
t9-p5-4,2Bt2,31.12,3.1,65.78
t9-p6-1,A,10.32,4.5,85.18
t9-p6-2,E,16.24,4.4,79.36
t9-p6-3,Bt1,25.44,2.4,72.16
t9-p6-4,Bt2,28.24,1.6,70.16
t9-p6-5,C,23.12,17.7,59.18
t9-p7-1,A,16.72,3.1,80.18
t9-p7-2,E,16.24,1.5,82.26
t9-p7-3,Btg,32.96,1.5,65.54
t9-p7-4,BC,26.88,1.6,71.52
t10-p1-1,A,12.64,17.1,70.26
t10-p1-2,E,15.92,14.3,69.78
t10-p1-3,Bt1,28.8,4.4,66.8
t10-p1-4,Btg,26.24,5.9,67.86
t10-p2-1,A,12.32,43.8,43.88
t10-p2-2,Bt1,22,16.1,61.9
t10-p2-3,Bt2,25.76,6.9,67.34
t10-p2-4,Bt3,28.8,6.7,64.5
t10-p2-5,Bt4,25.44,27,47.56
t10-p2-6,Bt5,27.92,5.7,66.38
t10-p2-7,BC,23.84,11,65.16
t10-p2-8,Cg ,21.84,13.8,64.36
t10-p3-1,A ,3.84,76.6,19.56
t10-p3-2,Bw,4.64,78,17.36
t10-p3-3,C,5.12,77.6,17.28
t10-p4-1,A,19.28,32.5,48.22
t10-p4-2,A/B,24.8,24.7,50.5
t10-p4-3,Bt1,30,26.8,43.2
t10-p4-4,2Bt2,32.72,30.4,36.88
t10-p5-1,A,17.76,18.6,63.64
t10-p5-2,A/B,29.04,17.3,53.66
t10-p5-3,Bt,39.28,15.9,44.82
t10-p6-1,A,9.04,8.9,82.06
t10-p6-2,E,14.56,8.3,77.14
t10-p6-3,Bt1,33.92,8.4,57.68
t10-p6-4,2Bt2,47.84,11.3,40.86
t10-p7-1,A,9.76,7.8,82.44
t10-p7-2,E,19.28,6.9,73.82
t10-p7-3,Bt1,28.4,7.2,64.4
t10-p7-4,Bt2,29.68,17,53.32
t10-p7-5,2Bt3,41.04,18.3,40.66
t10-p8-1,A,8.96,19.1,71.94
t10-p8-2,E,18.88,16.9,64.22
t10-p8-3,Bt1,26.48,29.9,43.62
t10-p8-4,2Bt2,36.88,26.1,37.02
t10-p9-1,A,11.12,14.7,74.18
t10-p9-2,E,13.36,12.6,74.04
t10-p9-3,Bt1,25.28,16,58.72
t10-p9-4,Bt2,24,33.6,42.4
t10-p9-5,2Bt3,33.76,34,32.24
t10-p10-1,A,10.32,9.3,80.38
t10-p10-2,E,16.32,10.7,72.98
t10-p10-3,Bt1,31.44,10.3,58.26
t10-p10-4,2Bt2,46.32,8.6,45.08
t11-p1-1,A,23.28,39.1,37.62
t11-p2-1,A,33.28,6.3,60.42
t11-p2-2,2Bt,35.36,7.7,56.94
t11-p3-1,A,27.68,8.6,63.72
t11-p3-2,AB,29.12,2.4,68.48
t11-p3-3,2Bt2,43.76,5.8,50.44
t11-p3-4,2BC,23.28,41.8,34.92
t11-p3-5,2Cr,18.4,56.3,25.3
t11-p4-1,A,19.2,2.6,78.2
t11-p4-2,E,16.96,2.1,80.94
t11-p4-3,Bt1,23.92,3.3,72.78
t11-p4-4,Bt2,29.52,2.8,67.68
t11-p4-5,2Bt3,44.96,6.4,48.64
t11-p4-6,2Bt4,57.68,3.2,39.12
t11-p4-7,2Cr,27.44,38.3,34.26
t11-p5-1,A,21.92,21.1,56.98
t11-p5-2,AB,20.8,2.7,76.5
t11-p5-3,Bt1,26.4,2.1,71.5
t11-p5-4,Bt2,31.04,4.9,64.06
t11-p5-5,2Bt3,48,2.8,49.2
t11-p5-6,2Bt4,49.12,3.6,47.28
t11-p5-7,2Bt5,27.76,32.5,39.74
t11-p5-8,2BC,35.36,22.6,42.04
t11-p6-1,Ap,18.48,2.4,79.12
t11-p6-2,Bt1,29.92,2.5,67.58
t11-p6-3,Bt2,28.08,3.3,68.62
t11-p7-1,Ap,18.08,3.7,78.22
t11-p7-2,Bt1,25.12,6.6,68.28
t11-p7-4,Bt3,26.56,8.3,65.14
t11-p7-5,2Cr,25.6,4.1,70.3
t11-p8-1,Ap,19.92,2.2,77.88
t11-p8-2,A,20.24,3.4,76.36
t11-p8-3,A,22.88,7.3,69.82
t11-p8-4,Ab,18,2.1,79.9
t11-p9-1,Ap,20.48,3.8,75.72
t11-p9-2,A,21.84,2.3,75.86
t11-p9-3,Bt1,26,4.1,69.9
t11-p9-4,2Bt2,43.6,4.5,51.9
t11-p10-1,Ap,18.88,2.5,78.62
t11-p10-2,AB,20.08,2.8,77.12
t11-p10-3,Bt1,23.44,3.1,73.46
t11-p10-4,2Bt2,36.72,5.1,58.18
t11-p11-1,Ap,18.72,2.7,78.58
t11-p11-2,A,21.76,4.8,73.44
t11-p11-3,AB,22.96,6.6,70.44
t11-p11-4,B1,23.84,2.4,73.76
t11-p11-5,Bt2,20.24,5.2,74.56
t12-p1-1,A,24.16,32.3,43.54
t12-p1-2,2AC,12.56,58.4,29.04
t12-p2-1,A,27.2,4.2,68.6
t12-p2-2,Bt1,28.4,2.9,68.7
t12-p2-3,2Bt2,39.04,11.1,49.86
t12-p3-1,A,27.04,0,72.96
t12-p3-2,Bt1,31.76,2.2,66.04
t12-p3-3,2Bt2,35.28,6.2,58.52
t12-p4-1,A,30.64,4.6,64.76
t12-p4-2,2Bt1,42.16,6.7,51.14
t12-p4-3,2Bt2,58.48,4.1,37.42
t12-p5-1,A,29.12,4.1,66.78
t12-p5-2,Bt1,37.92,8.5,53.58
t12-p5-3,Bt2,41.12,5.7,53.18
t12-p5-4,2Bt3,55.84,2.6,41.56
t12-p5-5,2Bt4,58,2.3,39.7
t12-p5-6,2BCg,45.44,12.1,42.46
t12-p6-1,A,22.8,2.1,75.1
t12-p6-2,Bt1,27.92,3.3,68.78
t12-p6-3,Bt2,27.36,19.7,52.94
t12-p7-1,A,23.92,10.3,65.78
t12-p7-2,Bt1,27.44,6.2,66.36
t12-p7-3,Bt2,27.52,11.4,61.08
t12-p7-4,2Cr,38.32,16.3,45.38
t12-p8-1,A,21.04,3,75.96
t12-p8-2,Bt1,30.72,2.4,66.88
t12-p8-3,Bt2,27.52,2.1,70.38
t12-p8-4,2Bt3/2Cr,38.64,2.6,58.76
t12-p9-1,A,17.12,1.7,81.18
t12-p9-2,AB,29.04,1.4,69.56
t12-p9-3,Bt1,29.6,1.7,68.7
t12-p9-4,Bt2,28.48,13.4,58.12
t12-p9-5,2Cr,19.84,15,65.16
t13-p1-1,A,11.92,35.5,52.58
t13-p1-2,Bt1,23.44,29,47.56
t13-p1-3,Bt2,24.72,33.6,41.68
t13-p1-4,BC,25.44,44.1,30.46
t13-p1-5,2C,3.76,92.8,3.44
t13-p2-1,A,20.64,25.1,54.26
t13-p2-2,Bt1,27.36,19.7,52.94
t13-p2-3,Bt2,24.88,43.5,31.62
t13-p2-4,BC,15.68,66.9,17.42
t13-p2-5,2C,9.04,89.4,1.56
t13-p3-1,A,12.4,27.7,59.9
t13-p3-2,E,14.64,34.2,51.16
t13-p3-3,Bt1,20.08,53.7,26.22
t13-p3-4,Bt2,21.2,46.4,32.4
t13-p4-1,A,10.8,34.3,54.9
t13-p4-2,Bt1,21.44,13.3,65.26
t13-p4-3,Bt2,26.48,11.1,62.42
t13-p4-4,Bt3,28.56,13.4,58.04
t13-p4-5,BC,28,28.1,43.9
t13-p5-1,A,11.92,27.7,60.38
t13-p5-2,Bt1,21.04,9.6,69.36
t13-p5-3,Bt2,30,7,63
t13-p5-4,Bt3,28.72,14.7,56.58
t13-p5-5,BC,22.08,32.1,45.82
t13-p5-6,C,19.04,27.1,53.86
t13-p6-1,A,10.96,21,68.04
t13-p6-2,AB,21.36,17.1,61.54
t13-p6-3,Bt1,21.2,11.2,67.6
t13-p6-4,Bt2,31.76,15.6,52.64
t13-p6-5,BC,26,10.5,63.5
t14-p1-1,A,17.36,12.6,70.04
t14-p1-2,Bt1,32.56,7.6,59.84
t14-p1-3,Bt2,33.36,14.8,51.84
t14-p2-1,A,11.6,73.2,15.2
t14-p2-2,Bw,8.16,80.9,10.94
t14-p2-3,BC,6.08,92,1.92
t14-p2-4,C,0.88,95.5,3.62
t14-p3-1,A,8,70.4,21.6
t14-p3-2,Bt1,10.96,66.7,22.34
t14-p3-3,Bt2,14.32,67.9,17.78
t14-p3-4,BC,10.64,68,21.36
t14-p4-1,A,7.52,73.1,19.38
t14-p4-2,E,6.64,80.2,13.16
t14-p4-3,Bw,7.6,68.6,23.8
t14-p4-4,BC,10.8,75,14.2
t14-p5-1,A,5.6,73,21.4
t14-p5-2,AB,10.72,63.4,25.88
t14-p5-3,Bt1,18.56,36.9,44.54
t14-p5-4,Bt2,22.88,28.7,48.42
t14-p5-5,Bt3,27.28,24,48.72
t14-p5-6,Btg,30.96,11.3,57.74
t14-p5-7,C,23.52,21.5,54.98
t14-p6-1,A,17.2,26.2,56.6
t14-p6-2,AB,18.72,23.8,57.48
t14-p6-3,Bt1,23.2,12.6,64.2
t14-p6-4,Bt2,20.4,22.3,57.3
t14-p6-5,Btg3,28.08,12.5,59.42
t14-p6-6,Bt4,33.04,7,59.96
t14-p6-7,C,26.8,10.9,62.3
t15-p1-1,A,32.64,5.8,61.56
t15-p1-2,AB,29.68,6.3,64.02
t15-p1-3,2Cr,27.28,24.4,48.32
t15-p2-1,A,33.36,4.4,62.24
t15-p2-2,AB,30.72,11.1,58.18
t15-p2-3,2Cr,12.24,68,19.76
t15-p3-1,A,28.8,8.5,62.7
t15-p3-2,2Bt,52,2.1,45.9
t15-p4-1,A,18.64,12.3,69.06
t15-p4-2,2Bt1,46,13.7,40.3
t15-p4-3,2Bt2,55.84,3.1,41.06
t15-p4-4,2Cr,37.28,21.8,40.92
t15-p5-1,A,14.4,3,82.6
t15-p5-2,Bt1,22.32,5.9,71.78
t15-p5-3,Bt2,28.56,2.1,69.34
t15-p6-1,A,14.56,2.1,83.34
t15-p6-2,Bt1,23.92,2.4,73.68
t15-p6-3,Bt2,37.6,2.6,59.8
t15-p6-4,Bt3,27.12,2,70.88
t15-p6-5,2Bt4,39.04,4.1,56.86
t15-p6-6,2Bt5,34.24,3,62.76
t15-p6-7,2Cr,21.28,35.6,43.12
t15-p7-1,A,12.08,0.3,87.62
t15-p7-2,Bt1,29.52,1.5,68.98
t15-p7-3,Bt2,29.6,0.9,69.5
t15-p7-4,Bt3,30.4,1.4,68.2
t16-p1-1,A,30.56,13.5,55.94
t16-p1-2,AB,35.2,14,50.8
t16-p1-3,2Cr,20.56,10.8,68.64
t16-p2-1,A,26.88,37.2,35.92
t16-p2-2,Bt,27.12,35,37.88
t16-p2-3,2Bt2,24.48,58.3,17.22
t16-p2-4,3Bt3,43.12,33.3,23.58
t16-p3-1,A1,22.24,40.9,36.86
t16-p3-2,A2,22.24,51.3,26.46
t16-p3-3,A3,26.64,38.5,34.86
t16-p4-1,A,24.72,22.2,53.08
t16-p4-2,AB,26.08,14.1,59.82
t16-p4-3,Bt1,31.28,7.5,61.22
t16-p4-4,Bt2,28.4,13.3,58.3
t16-p4-5,Bt3,19.84,43.6,36.56
t16-p4-6,BCg,17.36,63.7,18.94
t16-p4-7,2C,5.36,91.6,3.04
t16-p5-1,A,20.16,11.8,68.04
t16-p5-2,AB,24.4,6.6,69
t16-p5-3,Bt1,29.68,4.5,65.82
t16-p5-4,Bt2,20.8,32.5,46.7
t16-p5-5,Bt3,30.64,16.6,52.76
t16-p5-6,BC,29.2,4.3,66.5
